nom,liens,disponibiliter,prix_regulier,remis_aditionnelle,10,100,200,400,EAN / GTIN,Poids - g,Marque,Model,Taille de la batterie,Batterie chimique,Batterie,Tension nominale,capaciter_ah,Version batterie,Courant de décharge - A,Protection des circuits,Hauteur - mm,Diamètre - mm,30,20,130,390,260,50,128,256,512,60,Inclus,25,125,250,600,520
Samsung INR21700-50G 4850mAh - 9.7A NO WRAP,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-50g.html,True,3.95,True,3.6,,,,7417940526553,75.0,Samsung,INR21700-50G,21700.0,Li-ion,Rechargeable,3.6,4.9,Haut plat,9.7,Non protégé,"70,80",21.25,,,3.25,3.15,,3.4,,,,,,,,,,
Samsung INR21700-50E 4900mAh - 9.8A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-50e-reclaimed.html,False,3.55,True,3.4,2.95,,2.79,7417940527321,69.0,Samsung,INR21700-50E,21700.0,Li-ion,Rechargeable,3.6,4.9,"récupéré, Haut plat",9.8,Non protégé,"70,60",21.1,,,,,,3.2,,,,,,,,,,
Samsung INR21700-40T 4000mAh - 35A - Remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-40t-4000mah-30a-reclaimed.html,False,3.99,True,3.55,3.05,3.0,,7417940527284,67.0,Samsung,INR21700-40T,21700.0,Li-ion,Rechargeable,3.6,4.0,"récupéré, Haut plat",35.0,Non protégé,"70,10",21.0,3.35,,,,,,,,,3.15,,,,,,
Samsung INR21700-40T (40T3) 4000mAh - 35A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-40t3-4000mah-50a.html,True,4.75,True,4.5,,,,7417940527161,67.0,Samsung,INR21700-40T,21700.0,Li-ion,Rechargeable,3.6,4.0,Haut plat,35.0,Non protégé,"70,10",21.0,,,4.2,3.75,3.8,4.3,,,,,,,,,,
BAK N21700CG 5000mAh - 10.2A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/bak-n21700cg-5000mah-10-2a.html,True,4.45,True,4.25,3.95,3.75,,7417940526867,69.0,BAK,N21700CG-50,21700.0,Li-ion,Rechargeable,3.6,5.0,Haut plat,10.2,Non protégé,"70,35",21.35,,,,,,,,,,,,,,,3.6,
Samsung INR21700-30T 3000mAh - 35A CLEAR WRAP,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-30t-3000mah-35a-clear-wrap.html,True,2.99,True,,,,,7417940530420,69.0,Samsung,INR21700-30T,21700.0,Li-ion,Rechargeable,3.6,3.0,Haut plat,35.0,Non protégé,"70,30",21.12,2.75,,2.65,,2.45,,,,,,,,,,,2.35
LG INR21700-M50 4850mAh - 7.3A - NO WRAP,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/lg-inr21700-m50-4850mah-7-3a-no.html,False,3.95,True,,,,,7417940526638,68.0,LG Chem,,21700.0,Li-ion,Rechargeable,3.6,4.85,Haut plat,7.3,Non protégé,"70,00",21.0,,,3.1,2.8,2.95,,,,,,,,,,,
Samsung INR21700-33J 3270mAh - 6.4A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a.html,True,1.59,True,,,,,7417940526782,63.0,Samsung,INR21700-33J,21700.0,Li-ion,Rechargeable,3.6,3.27,Haut plat,6.4,Non protégé,"70,15",21.1,,,1.35,1.29,,1.45,,,,,,,,,,
LG INR21700-M50 4850mAh - 7.3A - Emballage transparent,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/lg-inr21700-m50-4850mah-7-3a-clear.html,False,4.15,True,3.75,,,,7417940531045,69.0,LG Chem,,21700.0,Li-ion,Rechargeable,3.6,4.85,Haut plat,7.3,Non protégé,"70,20",21.2,,,3.4,3.1,3.25,,,,,,,,,,,
Samsung INR21700-50G 4850mAh - 9.7A Clear wrap,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-50g-clear.html,True,3.95,True,3.8,,,,7417940529509,75.0,Samsung,INR21700-50G,21700.0,Li-ion,Rechargeable,3.6,4.9,Haut plat,9.8,Non protégé,"70,80",21.25,,,3.45,3.35,,3.6,,,,,,,,,,
Vapcell INR21700 3100mAh - 35A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/vapcell-inr21700-3100mah-35a.html,True,6.95,True,6.45,,,,8438493107807,68.0,Vapcell,,21700.0,Li-ion,Rechargeable,3.6,3.0,Haut plat,35.0,Non protégé,"70,00",20.0,,,,,,,,,,,,,,,,
